"cf_id","contact_id","company_name","description","goal","pledged","outcome","backers_count","country","currency","launched_date","end_date","category_id","subcategory_id","contact_id-2","first_name","last_name","email"
2502,"6202","Best, Carr and Williams","Diverse transitional migration","2000","2000","failed",15,"US","USD","2021-01-08","2021-10-15","cat2","subcat2","6202","Evelin","Odonnell","evelin.odonnell@ibarra.net"
325,"3715","Campbell, Brown and Powell","Synchronized global task-force","130800","130800","successful",2220,"US","USD","2020-12-23","2021-12-23","cat4","subcat4","3715","Ingeborg","Alba","ingeborg.alba@hotmail.com"
1345,"4242","Johnson, Parker and Haynes","Focused 6thgeneration forecast","45900","45900","successful",1606,"CH","CHF","2020-11-06","2021-08-27","cat5","subcat13","4242","Marina","Madrid","marina.madrid@galarza-alba.com"
2303,"4326","Clark-Cooke","Down-sized analyzing challenge","9000","9000","successful",129,"US","USD","2020-10-28","2021-02-15","cat5","subcat11","4326","Sheila","Goodwin","sheila.goodwin@yahoo.com"
2224,"5560","Schroeder Ltd","Progressive needs-based focus group","3500","3500","successful",226,"GB","GBP","2020-11-25","2021-02-05","cat7","subcat12","5560","Valeria","Rich","valeria.rich@turchetta-mondadori.it"
1173,"4002","Jackson PLC","Ergonomic 6thgeneration success","101000","101000","failed",2307,"IT","EUR","2021-02-21","2021-11-26","cat5","subcat5","4002","Dustin","Camacho","dustin.camacho@rhodes.org.au"
210,"3813","Blair, Collins and Carter","Exclusive interactive approach","50200","50200","successful",5419,"US","USD","2021-04-04","2021-12-09","cat4","subcat4","3813","Amalia","Marenzio","amalia.marenzio@grupo.com"
1546,"5336","Maldonado and Sons","Reverse-engineered asynchronous archive","9300","9300","successful",165,"US","USD","2021-01-26","2021-12-10","cat5","subcat5","5336","Gian","Long","gian.long@hotmail.com"
2871,"4994","Mitchell and Sons","Synergized intangible challenge","125500","125500","successful",1965,"DK","DKK","2021-03-16","2021-03-25","cat5","subcat7","4994","Stewart","Hunt","stewart.hunt@anderson-vargas.biz"
2034,"1471","Jackson-Lewis","Monitored multi-state encryption","700","700","successful",16,"US","USD","2021-04-07","2021-11-26","cat4","subcat4","1471","Greca","Ruiz","greca.ruiz@carr.co.uk"
2677,"4482","Black, Armstrong and Anderson","Profound attitude-oriented functionalities","8100","8100","successful",107,"US","USD","2020-11-20","2021-10-18","cat6","subcat14","4482","Gerald","Olivera","gerald.olivera@outlook.com"
1865,"3241","Maldonado-Gonzalez","Digitized client-driven database","3100","3100","successful",134,"US","USD","2021-08-23","2022-01-10","cat8","subcat15","3241","Jaqueline","Wallace","jaqueline.wallace@gmail.com"
170,"3477","Kim-Rice","Organized bi-directional function","9900","9900","failed",88,"DK","DKK","2021-04-14","2021-05-01","cat4","subcat4","3477","John","Lane","john.lane@gregoire.fr"
462,"2265","Garcia, Garcia and Lopez","Reduced stable middleware","8800","8800","successful",198,"US","USD","2020-11-18","2021-03-18","cat3","subcat9","2265","Pero","Joly","pero.joly@bernard.net"
3122,"5911","Watts Group","Universal 5thgeneration neural-net","5600","5600","successful",111,"IT","EUR","2021-03-17","2021-07-08","cat2","subcat2","5911","Chad","Turner","chad.turner@gmail.com"
1175,"2288","Werner-Bryant","Virtual uniform frame","1800","1800","successful",222,"US","USD","2020-06-20","2021-01-30","cat1","subcat1","2288","Adam","Zavala","adam.zavala@guichard.fr"
2301,"4064","Schmitt-Mendoza","Profound explicit paradigm","90200","90200","successful",6212,"US","USD","2020-11-14","2021-07-06","cat6","subcat16","4064","Tyler","Rivera","tyler.rivera@guajardo-ozuna.com"
91,"1294","Reid-Mccullough","Visionary real-time groupware","1600","1600","successful",98,"DK","DKK","2020-11-25","2021-03-01","cat6","subcat14","1294","Jens","Graham","jens.graham@jones-buckley.com"
87,"5008","Woods-Clark","Networked tertiary Graphical User Interface","9500","9500","failed",48,"US","USD","2021-01-18","2021-03-20","cat4","subcat4","5008","Virginia","Caetani","virginia.caetani@sosa.biz"
1482,"3604","Vaughn, Hunt and Caldwell","Virtual grid-enabled task-force","3700","3700","successful",92,"US","USD","2021-05-23","2021-09-23","cat2","subcat2","3604","Martino","Wagner","martino.wagner@laposte.net"
1711,"3263","Bennett and Sons","Function-based multi-state software","1500","1500","successful",149,"US","USD","2020-12-18","2021-06-27","cat4","subcat4","3263","Martin","Meyer","martin.meyer@davis.co.uk"
2294,"5631","Lamb Inc","Optimized leadingedge concept","33300","33300","successful",2431,"US","USD","2021-02-22","2021-11-10","cat4","subcat4","5631","Marguerite","Walls","marguerite.walls@martinez.fr"
2389,"2851","Casey-Kelly","Sharable holistic interface","7200","7200","successful",303,"US","USD","2021-01-25","2022-01-30","cat2","subcat2","2851","Peter","Vogt","peter.vogt@yahoo.com"
378,"3714","Jones, Taylor and Moore","Down-sized system-worthy secured line","100","100","failed",1,"IT","EUR","2021-10-08","2021-11-03","cat2","subcat17","3714","Nicholas","Christian","nicholas.christian@hotmail.de"
1213,"1664","Bradshaw, Gill and Donovan","Inverse secondary infrastructure","158100","158100","failed",1467,"GB","GBP","2020-09-07","2021-07-29","cat3","subcat9","1664","Susi","Steinberg","susi.steinberg@preiss.com"
29,"5027","Hernandez, Rodriguez and Clark","Organic foreground leverage","7200","7200","failed",75,"US","USD","2021-03-12","2022-01-05","cat4","subcat4","5027","Tammy","Ramazzotti","tammy.ramazzotti@gmail.com"
2309,"3070","Smith-Jones","Reverse-engineered static concept","8800","8800","successful",209,"US","USD","2021-10-14","2021-12-24","cat5","subcat7","3070","Abdul","Thomas","abdul.thomas@vasari.com"
2101,"4248","Roy PLC","Multi-channeled neutral customer loyalty","6000","6000","failed",120,"US","USD","2021-03-30","2021-05-24","cat3","subcat9","4248","Justin","Luxardo","justin.luxardo@googlemail.com"
1057,"2034","Wright, Brooks and Villarreal","Reverse-engineered bifurcated strategy","6600","6600","successful",131,"US","USD","2021-09-29","2021-11-29","cat2","subcat18","2034","Antonio","Gibson","antonio.gibson@faust.net"
2655,"4085","Flores, Miller and Johnson","Horizontal context-sensitive knowledge user","8000","8000","successful",164,"US","USD","2021-03-03","2021-05-22","cat3","subcat9","4085","Jeremy","Gomez","jeremy.gomez@oconnor.org"
202,"3569","Bridges, Freeman and Kim","Cross-group multi-state task-force","2900","2900","successful",201,"US","USD","2021-07-23","2021-12-04","cat7","subcat12","3569","Raymond","Solorzano","raymond.solorzano@gmail.com"
2025,"3889","Anderson-Perez","Expanded 3rdgeneration strategy","2700","2700","successful",211,"US","USD","2021-02-09","2021-06-11","cat4","subcat4","3889","Flora","Harris","flora.harris@hotmail.com.au"
2395,"3136","Wright, Fox and Marks","Assimilated real-time support","1400","1400","successful",128,"US","USD","2020-12-10","2021-03-07","cat4","subcat4","3136","Cheryl","Boyd","cheryl.boyd@segni.it"
1418,"2103","Crawford-Peters","User-centric regional database","94200","94200","successful",1600,"CA","CAD","2020-10-20","2021-08-24","cat4","subcat4","2103","Rhys","Leiva","rhys.leiva@gmx.de"
1905,"2329","Romero-Hoffman","Open-source zero administration complexity","199200","199200","failed",2253,"CA","CAD","2021-06-15","2021-10-26","cat4","subcat4","2329","Mariano","Prieto","mariano.prieto@vodafone.it"
1969,"3325","Sparks-West","Organized incremental standardization","2000","2000","successful",249,"US","USD","2021-08-19","2021-11-21","cat3","subcat3","3325","Laurie","Fibonacci","laurie.fibonacci@gmail.com"
2430,"3131","Baker, Morgan and Brown","Assimilated didactic open system","4700","4700","failed",5,"US","USD","2021-06-25","2021-07-16","cat4","subcat4","3131","David","Rudolph","david.rudolph@nelson.com"
1291,"4995","Mosley-Gilbert","Vision-oriented logistical intranet","2800","2800","failed",38,"US","USD","2021-05-21","2021-09-23","cat3","subcat3","4995","Bryan","Ross","bryan.ross@yahoo.com"
1934,"3631","Berry-Boyer","Mandatory incremental projection","6100","6100","successful",236,"US","USD","2021-02-23","2021-11-20","cat4","subcat4","3631","Ubaldo","Brown","ubaldo.brown@philippe.com"
1225,"5373","Sanders-Allen","Grass-roots needs-based encryption","2900","2900","failed",12,"US","USD","2021-10-05","2021-11-06","cat4","subcat4","5373","Clelia","Faulkner","clelia.faulkner@hotmail.com"
1363,"3126","Lopez Inc","Team-oriented 6thgeneration middleware","72600","72600","successful",4065,"GB","GBP","2020-11-03","2021-09-24","cat3","subcat9","3126","Sara","Erickson","sara.erickson@yahoo.de"
963,"2194","Moreno-Turner","Inverse multi-tasking installation","5700","5700","successful",246,"IT","EUR","2020-08-10","2021-02-07","cat4","subcat4","2194","Rupert","Valle","rupert.valle@filogamo.it"
1486,"2906","Jones-Watson","Switchable disintermediate moderator","7900","7900","canceled",17,"US","USD","2021-06-27","2022-01-17","cat4","subcat4","2906","Puccio","Kitzmann","puccio.kitzmann@yahoo.com"
676,"2611","Barker Inc","Re-engineered 24/7 task-force","128000","128000","successful",2475,"IT","EUR","2021-08-08","2022-01-30","cat4","subcat4","2611","Thomas","Hutchinson","thomas.hutchinson@gmx.de"
2137,"2374","Tate, Bass and House","Organic object-oriented budgetary management","6000","6000","successful",76,"US","USD","2021-03-19","2021-06-05","cat4","subcat4","2374","Abelardo","Castro","abelardo.castro@gmail.com"
2656,"3254","Hampton, Lewis and Ray","Seamless coherent parallelism","600","600","successful",54,"US","USD","2021-07-27","2021-11-30","cat5","subcat11","3254","Greco","Walker","greco.walker@yahoo.com"
1556,"3571","Collins-Goodman","Cross-platform even-keeled initiative","1400","1400","successful",88,"US","USD","2020-05-11","2021-03-09","cat2","subcat18","3571","Miranda","Lacombe","miranda.lacombe@longoria-vanegas.net"
747,"2812","Davis-Michael","Progressive tertiary framework","3900","3900","successful",85,"GB","GBP","2021-06-29","2021-08-27","cat2","subcat17","2812","Diana","Schuchhardt","diana.schuchhardt@libero.it"
60,"3961","White, Torres and Bishop","Multi-layered dynamic protocol","9700","9700","successful",170,"US","USD","2021-02-25","2021-03-31","cat8","subcat15","3961","Stacey","Knox","stacey.knox@corporacin.com"
2459,"3872","Martin, Conway and Larsen","Horizontal next generation function","122900","122900","failed",1684,"US","USD","2020-12-13","2021-12-26","cat4","subcat4","3872","Glen","Faivre","glen.faivre@yahoo.com"
1903,"4736","Acevedo-Huffman","Pre-emptive impactful model","9500","9500","failed",56,"US","USD","2021-06-17","2021-08-27","cat5","subcat11","4736","Andrew","Torres","andrew.torres@ruiz-torres.org"
2003,"5119","Montgomery, Larson and Spencer","User-centric bifurcated knowledge user","4500","4500","successful",330,"US","USD","2020-12-24","2021-04-16","cat6","subcat19","5119","Denny","Fritz","denny.fritz@despacho.biz"
2885,"5725","Soto LLC","Triple-buffered reciprocal project","57800","57800","failed",838,"US","USD","2021-06-13","2021-11-18","cat4","subcat4","5725","Martyn","Caldera","martyn.caldera@hotmail.co.uk"
2067,"4037","Sutton, Barrett and Tucker","Cross-platform needs-based approach","1100","1100","successful",127,"US","USD","2021-06-26","2021-10-21","cat7","subcat12","4037","Abigail","Foster","abigail.foster@taylor.net"
1610,"2109","Gomez, Bailey and Flores","User-friendly static contingency","16800","16800","successful",411,"US","USD","2020-11-01","2021-03-04","cat2","subcat2","2109","Anthony","Hauffer","anthony.hauffer@tlustek.org"
2909,"3283","Porter-George","Reactive content-based framework","1000","1000","successful",180,"GB","GBP","2020-10-09","2021-11-11","cat7","subcat12","3283","Roger","Gerlach","roger.gerlach@may-mitchell.co.uk"
1239,"6181","Fitzgerald PLC","Realigned user-facing concept","106400","106400","failed",1000,"US","USD","2021-06-25","2021-08-08","cat2","subcat6","6181","Christopher","Poirier","christopher.poirier@hotmail.com"
2480,"3251","Cisneros-Burton","Public-key zero tolerance orchestration","31400","31400","successful",374,"US","USD","2021-07-03","2021-10-05","cat3","subcat9","3251","Branka","Traore","branka.traore@jacobi.com"
2181,"3443","Hill, Lawson and Wilkinson","Multi-tiered eco-centric architecture","4900","4900","successful",71,"AU","AUD","2021-05-29","2021-08-20","cat2","subcat8","3443","Briana","Etienne","briana.etienne@bishop-coates.com"
2030,"2988","Davis-Smith","Organic motivating firmware","7400","7400","successful",203,"US","USD","2021-05-16","2021-09-12","cat4","subcat4","2988","Brandon","Olson","brandon.olson@prince-moreno.net"
2311,"1673","Farrell and Sons","Synergized 4thgeneration conglomeration","198500","198500","failed",1482,"AU","AUD","2020-08-23","2021-03-24","cat2","subcat2","1673","Celia","Ungaretti","celia.ungaretti@fox.com"
2821,"2085","Clark Group","Grass-roots fault-tolerant policy","4800","4800","successful",113,"US","USD","2020-07-21","2021-02-22","cat6","subcat19","2085","Barbara","Guibert","barbara.guibert@casares-sanches.com"
2468,"1672","White, Singleton and Zimmerman","Monitored scalable knowledgebase","3400","3400","successful",96,"US","USD","2020-07-23","2021-01-18","cat4","subcat4","1672","Daniela","Bell","daniela.bell@vollbrecht.org"
656,"4426","Kramer Group","Synergistic explicit parallelism","7800","7800","failed",106,"US","USD","2021-10-09","2021-11-15","cat4","subcat4","4426","Phyllis","Gurule","phyllis.gurule@rodriguez-pham.com"
2791,"3211","Frazier, Patrick and Smith","Enhanced systemic analyzer","154300","154300","failed",679,"IT","EUR","2020-07-03","2021-06-17","cat6","subcat19","3211","Alejandra","Joseph","alejandra.joseph@escalante-abrego.biz"
1527,"3190","Santos, Bell and Lloyd","Object-based analyzing knowledge user","20000","20000","successful",498,"CH","CHF","2020-08-05","2021-05-15","cat7","subcat12","3190","Giulio","Bohlander","giulio.bohlander@dbmail.com"
1891,"2081","Hall and Sons","Pre-emptive radical architecture","108800","108800","canceled",610,"US","USD","2020-11-22","2021-12-05","cat4","subcat4","2081","Amber","Weller","amber.weller@toso.eu"
580,"3185","Hanson Inc","Grass-roots web-enabled contingency","2900","2900","successful",180,"GB","GBP","2021-03-14","2021-08-29","cat3","subcat3","3185","Mary","Etzold","mary.etzold@conrad-harrison.com"
682,"5044","Sanchez LLC","Stand-alone system-worthy standardization","900","900","successful",27,"US","USD","2021-08-06","2021-09-05","cat5","subcat5","5044","Amy","Georges","amy.georges@raedel.de"
3097,"1883","Howard Ltd","Down-sized systematic policy","69700","69700","successful",2331,"US","USD","2021-10-18","2021-12-26","cat4","subcat4","1883","Jennifer","Giraud","jennifer.giraud@yahoo.com"
873,"2067","Stewart LLC","Cloned bi-directional architecture","1300","1300","successful",113,"US","USD","2020-11-29","2021-06-11","cat1","subcat1","2067","Rosie","Peltier","rosie.peltier@voila.fr"
1668,"4604","Arias, Allen and Miller","Seamless transitional portal","97800","97800","failed",1220,"AU","AUD","2021-02-14","2021-11-03","cat7","subcat12","4604","Oreste","Ward","oreste.ward@proyectos.com"
3076,"3203","Baker-Morris","Fully-configurable motivating approach","7600","7600","successful",164,"US","USD","2020-08-23","2021-02-06","cat4","subcat4","3203","Luis","Edwards","luis.edwards@live.com"
3146,"5758","Tucker, Fox and Green","Upgradable fault-tolerant approach","100","100","failed",1,"US","USD","2021-06-22","2021-10-23","cat4","subcat4","5758","Fiona","Griffiths","fiona.griffiths@curatoli-verdone.it"
253,"5755","Douglas LLC","Reduced heuristic moratorium","900","900","successful",164,"US","USD","2021-10-06","2022-01-27","cat2","subcat6","5755","Sally","Raya","sally.raya@tarchetti.it"
3088,"5150","Garcia Inc","Front-line web-enabled model","3700","3700","successful",336,"US","USD","2020-09-18","2021-08-18","cat3","subcat9","5150","Carolyn","Charpentier","carolyn.charpentier@hotmail.de"
393,"4181","Frye, Hunt and Powell","Polarized incremental emulation","10000","10000","failed",37,"IT","EUR","2021-05-10","2021-08-03","cat2","subcat6","4181","Nathalie","Alvarez","nathalie.alvarez@live.com"
2912,"3006","Smith, Wells and Nguyen","Self-enabling grid-enabled initiative","119200","119200","successful",1917,"US","USD","2021-07-09","2021-10-15","cat2","subcat8","3006","Abril","Lowery","abril.lowery@novak.net"
478,"4865","Charles-Johnson","Total fresh-thinking system engine","6800","6800","successful",95,"US","USD","2020-10-08","2021-07-23","cat3","subcat3","4865","Ottone","Sullivan","ottone.sullivan@hussain-kaur.com"
1061,"2862","Brandt, Carter and Wood","Ameliorated clear-thinking circuit","3900","3900","successful",147,"US","USD","2021-03-05","2021-05-19","cat4","subcat4","2862","Esmeralda","Sollima","esmeralda.sollima@visintini.it"
2957,"6070","Tucker, Schmidt and Reid","Multi-layered encompassing installation","3500","3500","successful",86,"US","USD","2021-05-07","2021-12-28","cat4","subcat4","6070","Silvia","Gierschner","silvia.gierschner@tele2.it"
2015,"5300","Decker Inc","Universal encompassing implementation","1500","1500","successful",83,"US","USD","2020-10-14","2021-07-23","cat5","subcat5","5300","Kyle","Cunningham","kyle.cunningham@voila.fr"
1179,"3486","Romero and Sons","Object-based client-server application","5200","5200","failed",60,"US","USD","2020-10-01","2021-06-12","cat5","subcat20","3486","Anel","Carpentier","anel.carpentier@klein-joseph.org"
2568,"5989","Castillo-Carey","Cross-platform solution-oriented process improvement","142400","142400","failed",296,"US","USD","2020-05-05","2021-05-30","cat1","subcat1","5989","Sarah","Davis","sarah.davis@david.com"
2869,"2849","Hart-Briggs","Re-engineered user-facing approach","61400","61400","successful",676,"US","USD","2021-03-17","2021-10-27","cat6","subcat16","2849","Luke","Klein","luke.klein@hotmail.com"
718,"1612","Jones-Meyer","Re-engineered client-driven hub","4700","4700","successful",361,"AU","AUD","2020-10-24","2021-04-12","cat3","subcat3","1612","Gudrun","Mueller","gudrun.mueller@dillon-fuller.info"
1211,"3307","Wright, Hartman and Yu","User-friendly tertiary array","3300","3300","successful",131,"US","USD","2021-01-29","2021-02-13","cat1","subcat1","3307","Melissa","Canali","melissa.canali@libero.it"
2431,"5288","Harper-Davis","Robust heuristic encoding","1900","1900","successful",126,"US","USD","2021-07-02","2021-12-31","cat3","subcat9","5288","Gabrielle","Ayala","gabrielle.ayala@hotmail.com"
468,"6026","Barrett PLC","Team-oriented clear-thinking capacity","166700","166700","failed",3304,"IT","EUR","2021-03-20","2021-04-16","cat6","subcat14","6026","Laura","Buckley","laura.buckley@ryan.org"
1862,"2212","David-Clark","De-engineered motivating standardization","7200","7200","failed",73,"US","USD","2021-09-02","2021-12-31","cat4","subcat4","2212","Wilfrido","Lorch","wilfrido.lorch@leclerc.fr"
2300,"4591","Chaney-Dennis","Business-focused 24hour groupware","4900","4900","successful",275,"US","USD","2021-06-18","2021-12-31","cat5","subcat20","4591","Robert","Bruder","robert.bruder@manzoni.com"
449,"2771","Robinson, Lopez and Christensen","Organic next generation protocol","5400","5400","successful",67,"US","USD","2020-10-07","2021-10-17","cat8","subcat15","2771","Phillip","Soliz","phillip.soliz@outlook.com"
283,"5682","Clark and Sons","Reverse-engineered full-range Internet solution","5000","5000","successful",154,"US","USD","2021-07-27","2021-11-01","cat5","subcat5","5682","Alex","Smith","alex.smith@fournier.fr"
2484,"5368","Vega Group","Synchronized regional synergy","75100","75100","successful",1782,"US","USD","2021-04-15","2021-10-08","cat7","subcat21","5368","Jessica","Martinez","jessica.martinez@salieri.com"
1490,"3706","Brown-Brown","Multi-lateral homogeneous success","45300","45300","successful",903,"US","USD","2020-06-21","2021-04-14","cat7","subcat12","3706","Kelly","Carter","kelly.carter@hotmail.com.au"
186,"4034","Taylor PLC","Seamless zero-defect solution","136800","136800","failed",3387,"US","USD","2020-05-21","2021-01-28","cat6","subcat14","4034","Ahmad","Sosa","ahmad.sosa@gmail.com"
2999,"3209","Edwards-Lewis","Enhanced scalable concept","177700","177700","failed",662,"CA","CAD","2022-01-15","2022-02-03","cat4","subcat4","3209","Toralf","Iglesias","toralf.iglesias@borrego.com"
2819,"2384","Stanton, Neal and Rodriguez","Polarized uniform software","2600","2600","successful",94,"IT","EUR","2020-07-19","2021-02-28","cat8","subcat15","2384","Irene","Anichini","irene.anichini@yahoo.com"
2105,"3074","Pratt LLC","Stand-alone web-enabled moderator","5300","5300","successful",180,"US","USD","2020-05-10","2021-05-02","cat4","subcat4","3074","Alicia","Cainero","alicia.cainero@yahoo.com"
1324,"2031","Gross PLC","Proactive methodical benchmark","180200","180200","failed",774,"US","USD","2020-03-24","2021-03-11","cat4","subcat4","2031","Tracey","Laboy","tracey.laboy@bell.biz"
1952,"5873","Martinez, Gomez and Dalton","Team-oriented 6thgeneration matrix","103200","103200","failed",672,"CA","CAD","2021-03-03","2021-06-16","cat4","subcat4","5873","Donald","Reynaud","donald.reynaud@green.edu.au"
2404,"5501","Allen-Curtis","Phased human-resource core","70600","70600","canceled",532,"US","USD","2020-09-13","2021-09-17","cat2","subcat2","5501","Venancio","Stadelmann","venancio.stadelmann@gmx.de"
990,"3489","Morgan-Martinez","Mandatory tertiary implementation","148500","148500","canceled",55,"AU","AUD","2021-03-23","2021-12-06","cat1","subcat1","3489","Seth","Olivier","seth.olivier@yahoo.com"
1459,"4210","Luna, Anderson and Fox","Secured directional encryption","9600","9600","successful",533,"DK","DKK","2020-10-10","2021-07-13","cat5","subcat7","4210","Dennis","Boaga","dennis.boaga@gmx.de"
1106,"6151","Fleming, Zhang and Henderson","Distributed 5thgeneration implementation","164700","164700","successful",2443,"GB","GBP","2021-07-17","2022-01-18","cat3","subcat3","6151","Pedro","Wilson","pedro.wilson@outlook.com"
1488,"6047","Flowers and Sons","Virtual static core","3300","3300","successful",89,"US","USD","2020-10-20","2021-11-02","cat4","subcat4","6047","Roland","Weihmann","roland.weihmann@gmail.com"
2107,"5445","Gates PLC","Secured content-based product","4500","4500","successful",159,"US","USD","2020-07-09","2021-05-18","cat2","subcat22","5445","Hector","Morrison","hector.morrison@web.de"
2660,"5493","Caldwell LLC","Secured executive concept","99500","99500","failed",940,"CH","CHF","2021-07-23","2021-07-28","cat5","subcat5","5493","Evangelos","Peters","evangelos.peters@sanchez.net"
2647,"6036","Le, Burton and Evans","Balanced zero-defect software","7700","7700","failed",117,"US","USD","2020-12-25","2021-12-02","cat4","subcat4","6036","Gerardo","Hamilton","gerardo.hamilton@libero.it"
565,"2368","Briggs PLC","Distributed context-sensitive flexibility","82800","82800","canceled",58,"US","USD","2021-03-23","2021-04-14","cat5","subcat7","2368","Meta","Cuzzocrea","meta.cuzzocrea@howard-jensen.org"
2713,"1501","Hudson-Nguyen","Down-sized disintermediate support","1800","1800","successful",50,"US","USD","2020-04-07","2021-02-14","cat6","subcat10","1501","Alma","Raymond","alma.raymond@tin.it"
558,"4351","Hogan Ltd","Stand-alone mission-critical moratorium","9600","9600","failed",115,"US","USD","2021-05-10","2021-12-17","cat7","subcat21","4351","Kathleen","Solimena","kathleen.solimena@wallace.biz"
